title,body,severity,y_pred
add learn.infiniteskills.com,"please can you add this elearning website 
learn.infiniteskills.com

it will very helpful for everyone

thanks
",major,minor
support bmobject manifests (was: bloomberg-->add normal mp4s to format dict),"i can't find normal mp4s in -f output, only hls and frm
http://www.bloomberg.com/news/videos/2016-12-12/trump-tweets-f-35-jet-program-costs-out-of-control
is this link in format dict?:
http://cdn3.videos.bloomberg.com/m/njk3mtgynq/mjmzmdc4mw/rothacker08511212d_440.mp4",major,minor
different results of cascadeclasifier on cpu and gpu,"### my system
- opencv version: 3.1
- host os: linux (ubuntu 14.04)
- cpu: intel i7 3770
- video card: gtx-950
- video driver: v.352.93
### in which part of the opencv library you got the issue?
- objdetect, cudaobjdetect
- cv::cascadeclassifier, cv::cuda::cascadeclassifier
### expected behaviour

i built the latest opencv version with cuda support from master branch. after that i tried to use cpu cv::cascadeclassifier and gpu cv::cuda::cascadeclassifier, but faced with a strange result. i use same xml from opencv/data/haarcascades_cuda/haarcascade_fullbody.xml for both cpu and gpu version of cascadeclassifier. cpu classifier with this xml shows much more objects than gpu classifier.

another strange thing, that when i set scalefactor to 2, speed of cpu version boosted up to 4 times, but gpu version becomes just slightly faster.
### additional description

[opencvqa](http://answers.opencv.org/question/96452/different-results-of-cascadeclasifier-on-cpu-and-gpu/)
[video demo: example.ogv.zip](https://github.com/itseez/opencv/files/320887/example.ogv.zip)
[video demo with same parameters values: example_v2.ogv.zip](https://github.com/itseez/opencv/files/322422/example_v2.ogv.zip)
### code example to reproduce the issue

[bitbucket: main.cpp](https://bitbucket.org/barbatum/cascadeqa/raw/571cdafc1b230cb5ec5d2c7b6b766895549d2d1e/cascadeqa/main.cpp)
[bitbucket: qmake project + deps build bash script](https://bitbucket.org/barbatum/cascadeqa)
",major,minor
cmd/internal/obj/arm: should not put instruction encoding into reloc.add,"please answer these questions before submitting your issue. thanks!

### what version of go are you using (`go version`)?

### what operating system and processor architecture are you using (`go env`)?

whatever the trybots for linux-arm are using

### what did you do?

built a sample file with -n -l then attempted to load it with cmd/internal/goobj:

https://go-review.googlesource.com/#/c/39230/

### what did you expect to see?

honest object files.

### what did you see instead?

https://storage.googleapis.com/go-build-log/e81c4c0b/linux-arm_e2ed47ce.log",major,minor
download only audio bytes ,"i want to download from youtube the best audio quality possible.
since the audio only files are at low bitrate (usually 128k), i have to download the whole audio+video (format 22 usually has the best audio), and then extract the audio.

but i don't want to download the entire video file to only get the audio.

i know it is possible to download only audio bytes by parsing the format header and skip all video frames to save bandwidth.

for example 4k video downloader does this with youtube to get the best audio quality from a video.
it parses the mp4 header, and download only the audio bytes.

it is possible to implement this functionality?
",major,minor
cmd/compile: output variable names in data race reports,"<pre>it would be nice if in data race reports we print variable size and symbolic name as
well. e.g. &quot;read of 'foo.bar'&quot;.</pre>
",minor,major
would be nice if `flutter run` only downloaded the necessary artifacts,"i was on a train with bad wifi.  it was painful.

i was trying to run the gallery on an ios simulator.

```
%flutter run
building flutter tool...
downloading package sky_engine...                    8101ms
running 'pub get' in sky_engine...                   450ms
downloading package sky_services...                  596ms
running 'pub get' in sky_services...                 3139ms
downloading package flutter_services...              1929ms
running 'pub get' in flutter_services...             2294ms
building dart sdk summary...                         1753ms
downloading engine artifacts android-arm...          177027ms
downloading engine artifacts android-arm-profile...  164117ms
downloading engine artifacts android-arm-release...  115925ms
downloading engine artifacts android-x64...          78964ms
downloading engine artifacts android-x86...          78600ms
downloading engine artifacts ios...                  178979ms
downloading engine artifacts ios-profile...          189778ms
downloading engine artifacts ios-release...          152586ms
downloading darwin-x64 tools...                      232022ms
downloading android-arm-profile/darwin-x64 tools...  34656ms
downloading android-arm-release/darwin-x64 tools...  139862ms
running 'pub get' in flutter_gallery...              870ms
```

fyi @danrubel 
",major,minor
investigate alternatives to libimobiledevice ,"given #5397, #6067, #6105, it's clear there's some risk in depending on libimobiledevice, particularly around new xcode/ios release times. 
",major,minor
x/build/kubernetes/gke: use non-deprecated auth,"we're currently using `clusters.list` to get the certificate pair used to authenticate to the kubernetes api. this is deprecated (and very confusing to set up in a new project). the docs say we should switch to just using oauth directly with the api (which has the advantage that we don't need to also grant the coordinator permission to create new clusters).

/cc @bradfitz ",minor,major
treatment of regions in trait matching is perhaps too simplistic,"not sure why i didn't see this coming. until now, the treatment of regions in trait matching has intentionally ignored lifetimes (in the sense of, it did not consider lifetime constraints when deciding what impl to apply -- once an impl is selected, the constraints that appear on it naturally are enforced). the reason for this is that lifetime inference is a second pass that uses a much more flexible constraint-graph solving algorithm, in contrast to the bulk of type inference which uses something much closer to unification. a side-effect of this is that you cannot easily get a ""yes or no"" answer to the question ""does `'x : 'y` hold?"" one must see wait until all the constraints have been gathered to know.

however, this leads to problems when you have multiple predicates in the environment that reference lifetimes. this is easy to see in the following example, but one does not need where clauses to get into this situation:

``` rust
trait foo {
    fn foo(self);
}

fn foo<'a,'b,t>(x: &'a t, y: &'b t)
    where &'a t : foo,
          &'b t : foo
{
    x.foo(); 
    y.foo();
}

fn main() { }
```

this winds up failing to compile because it can't really distinguish the two predicates here, since they are identical but for the specific lifetimes involved. this doesn't arise much in practice because it's unusual to have two requirements like that, usually you either have a more universal requirement (e.g., `for<'a> &'a t : foo`), or just one particular lifetime you are interested in. i observed this problem however when experimenting with [implied bounds](http://smallcultfollowing.com/babysteps/blog/2014/07/06/implied-bounds/), because it is common for multiple indistinguishable bounds of this kind to be generated as part of that proposal.

i'm not really sure how best to solve this at the moment.
",major,minor
non-upper case constant warning misapplied in patterns,"a constant with `#[allow(non_upper_case_globals)]` applied still generates a warning when used in a pattern, unless the `match` also has the allow attribute. for example:

```rust
#[allow(non_upper_case_globals)]
mod keywords {
    pub const if: u32 = 0;
    pub const while: u32 = 1;
}

fn main() {
    use keywords::*;

    // the warning goes away with this attribute:
    // #[allow(non_upper_case_globals)]
    match 0 {
        keywords::if => println!(""if""),
        while => println!(""while""),
        _ => println!(""<unknown>""),
    }
}
```

[playground](https://is.gd/jznzqb)",major,minor
encoding/xml: disallow attributes named xmlns:*,"by **opennota**:

<pre>the encoder will add namespaced to the elements, even if there are the same namespaces
in the parent element:
<a href=""http://play.golang.org/p/ldrjcxujhx"">http://play.golang.org/p/ldrjcxujhx</a>

// output:
// &lt;p xmlns=&quot;<a href=""http://www.gribuser.ru/xml/fictionbook/2.0&quot"">http://www.gribuser.ru/xml/fictionbook/2.0&quot</a>;
xmlns:l=&quot;<a href=""http://www.w3.org/1999/xlink&quot"">http://www.w3.org/1999/xlink&quot</a>;&gt;&lt;a
xmlns=&quot;<a href=""http://www.gribuser.ru/xml/fictionbook/2.0&quot"">http://www.gribuser.ru/xml/fictionbook/2.0&quot</a>;
xmlns:xlink=&quot;<a href=""http://www.w3.org/1999/xlink&quot"">http://www.w3.org/1999/xlink&quot</a>;
xlink:href=&quot;<a href=""http://google.com&quot"">http://google.com&quot</a>;&gt;google.com&lt;/a&gt;&lt;/p&gt;

i expect it to not repeat the namespaces:

// &lt;p xmlns=&quot;<a href=""http://www.gribuser.ru/xml/fictionbook/2.0&quot"">http://www.gribuser.ru/xml/fictionbook/2.0&quot</a>;
xmlns:l=&quot;<a href=""http://www.w3.org/1999/xlink&quot"">http://www.w3.org/1999/xlink&quot</a>;&gt;&lt;a
l:href=&quot;<a href=""http://google.com&quot"">http://google.com&quot</a>;&gt;google.com&lt;/a&gt;&lt;/p&gt;</pre>
",major,minor
closure return type not deduced from bounds if the type is wrapped.,"in a tuple, for example:

``` rust
fn call<r, f: fnonce() -> r>(f: f) -> r {
    f()
}

fn main() {
    let _: (&[i32],) = call(|| (&[],));
}
```

afaict, we don't deduce that `call::<$r, _>(|| (&[],)) expects (&[i32],)` implies `&[] expects &[i32]`, only `(&[],) expects $r`.
",minor,major
